date,"Closed / Merged"
'2022-04-27',8875
'2022-04-28',8887
'2022-04-29',8911
'2022-04-30',8911
'2022-05-01',8915
'2022-05-02',8942
'2022-05-03',8966
'2022-05-04',8981
'2022-05-05',8997
'2022-05-06',9017
'2022-05-07',9020
'2022-05-08',9025
'2022-05-09',9040
'2022-05-10',9046
'2022-05-11',9052
'2022-05-12',9072
'2022-05-13',9110
'2022-05-14',9111
'2022-05-16',9191
'2022-05-17',9216
'2022-05-18',9226
'2022-05-19',9249
'2022-05-20',9257
'2022-05-21',9259
'2022-05-22',9261
'2022-05-23',9273
'2022-05-24',9290
'2022-05-25',9310
'2022-05-26',9312
'2022-05-27',9327
'2022-05-28',9329
'2022-05-29',9330
'2022-05-30',9343
'2022-05-31',9358
'2022-06-01',9374
'2022-06-02',9392
'2022-06-03',9401
'2022-06-04',9401
'2022-06-05',9402
'2022-06-06',9406
'2022-06-07',9416
'2022-06-08',9436
'2022-06-09',9456
'2022-06-10',9475
'2022-06-11',9478
'2022-06-13',9499
'2022-06-14',9510
'2022-06-15',9521
'2022-06-16',9535
'2022-06-17',9547
'2022-06-18',9548
'2022-06-19',9549
'2022-06-20',9562
'2022-06-21',9572
'2022-06-22',9578
'2022-06-23',9592
'2022-06-24',9605
'2022-06-25',9606
'2022-06-26',9607
'2022-06-27',9619
'2022-06-28',9630
'2022-06-29',9648
'2022-06-30',9664
'2022-07-01',9682
'2022-07-04',9691
'2022-07-05',9705
'2022-07-06',9718
'2022-07-07',9728
'2022-07-08',9735
'2022-07-09',9735
'2022-07-10',9736
'2022-07-11',9752
'2022-07-12',9777
'2022-07-13',9790
'2022-07-14',9813
'2022-07-15',9828
'2022-07-16',9836
'2022-07-17',9844
'2022-07-18',9860
'2022-07-19',9878
'2022-07-20',9905
'2022-07-21',9915
'2022-07-22',9927
'2022-07-23',9929
'2022-07-25',9940
'2022-07-26',9954
'2022-07-27',9969
'2022-07-28',9985
'2022-07-29',9997
'2022-07-31',9998
'2022-08-01',10005
'2022-08-02',10012
'2022-08-03',10021
'2022-08-04',10029
'2022-08-05',10038
'2022-08-06',10038
'2022-08-07',10045
'2022-08-08',10050
'2022-08-09',10055
'2022-08-10',10065
'2022-08-11',10071
'2022-08-12',10079
'2022-08-13',10080
'2022-08-14',10081
'2022-08-15',10090
'2022-08-16',10096
'2022-08-17',10103
'2022-08-18',10117
'2022-08-19',10123
'2022-08-21',10125
'2022-08-22',10130
'2022-08-23',10144
'2022-08-24',10156
'2022-08-25',10172
'2022-08-26',10173
'2022-08-28',10174
'2022-08-29',10177
'2022-08-30',10261
'2022-08-31',10276
'2022-09-01',10350
'2022-09-02',10371
'2022-09-03',10375
'2022-09-04',10377
'2022-09-05',10392
'2022-09-06',10416
'2022-09-07',10438
'2022-09-08',10458
'2022-09-09',10473
'2022-09-10',10475
'2022-09-11',10479
'2022-09-12',10487
'2022-09-13',10501
'2022-09-14',10530
'2022-09-15',10551
'2022-09-16',10571
'2022-09-17',10575
'2022-09-18',10576
'2022-09-19',10581
'2022-09-20',10589
'2022-09-21',10596
'2022-09-22',10604
'2022-09-23',10626
'2022-09-24',10628
'2022-09-25',10629
'2022-09-26',10644
'2022-09-27',10665
'2022-09-28',10681
'2022-09-29',10695
'2022-09-30',10706
'2022-10-01',10709
'2022-10-02',10710
'2022-10-03',10726
'2022-10-04',10819
'2022-10-05',10854
'2022-10-06',10876
'2022-10-07',10894
'2022-10-08',10895
'2022-10-09',10896
'2022-10-10',10955
'2022-10-11',11051
'2022-10-12',11108
'2022-10-13',11123
'2022-10-14',11139
'2022-10-15',11142
'2022-10-16',11143
'2022-10-17',11162
'2022-10-18',11180
'2022-10-19',11200
'2022-10-20',11235
'2022-10-21',11253
'2022-10-22',11254
'2022-10-23',11255
'2022-10-24',11285
'2022-10-25',11294
'2022-10-26',11322
'2022-10-27',11351
'2022-10-28',11380
'2022-10-29',11384
'2022-10-30',11385
'2022-10-31',11403
'2022-11-01',11417
'2022-11-02',11436
'2022-11-03',11461
'2022-11-04',11493
'2022-11-05',11496
'2022-11-06',11496
'2022-11-07',11517
'2022-11-08',11537
'2022-11-09',11552
'2022-11-10',11584
'2022-11-11',11597
'2022-11-12',11599
'2022-11-13',11600
'2022-11-14',11615
'2022-11-15',11635
'2022-11-16',11651
'2022-11-17',11670
'2022-11-18',11677
'2022-11-19',11677
'2022-11-20',11678
'2022-11-21',11704
'2022-11-22',11719
'2022-11-23',11731
'2022-11-24',11759
'2022-11-25',11774
'2022-11-26',11776
'2022-11-27',11779
'2022-11-28',11799
'2022-11-29',11822
'2022-11-30',11855
'2022-12-01',11878
'2022-12-02',11902
'2022-12-03',11902
'2022-12-04',11904
'2022-12-05',11925
'2022-12-06',11942
'2022-12-07',11960
'2022-12-08',12048
'2022-12-09',12064
'2022-12-10',12066
'2022-12-11',12071
'2022-12-12',12090
'2022-12-13',12107
'2022-12-14',12120
'2022-12-15',12136
'2022-12-16',12149
'2022-12-17',12151
'2022-12-18',12151
'2022-12-19',12211
'2022-12-20',12232
'2022-12-21',12246
'2022-12-22',12254
'2022-12-23',12264
'2022-12-24',12264
'2022-12-26',12265
'2022-12-27',12269
'2022-12-28',12271
'2022-12-29',12271
'2022-12-30',12271
'2022-12-31',12272
'2023-01-02',12278
'2023-01-03',12289
'2023-01-04',12306
'2023-01-05',12320
'2023-01-06',12323
'2023-01-07',12324
'2023-01-08',12326
'2023-01-09',12336
'2023-01-10',12349
'2023-01-11',12361
'2023-01-12',12374
'2023-01-13',12388
'2023-01-15',12389
'2023-01-16',12399
'2023-01-17',12409
'2023-01-18',12420
'2023-01-19',12438
'2023-01-20',12453
'2023-01-21',12455
'2023-01-22',12457
'2023-01-23',12472
'2023-01-24',12492
'2023-01-25',12510
'2023-01-26',12526
'2023-01-27',12551
'2023-01-29',12551
'2023-01-30',12562
'2023-01-31',12582
'2023-02-01',12595
'2023-02-02',12610
'2023-02-03',12625
'2023-02-05',12626
'2023-02-06',12640
'2023-02-07',12663
'2023-02-08',12688
'2023-02-09',12705
'2023-02-10',12715
'2023-02-11',12715
'2023-02-13',12724
'2023-02-14',12742
'2023-02-15',12761
'2023-02-16',12779
'2023-02-17',12802
'2023-02-18',12807
'2023-02-19',12809
'2023-02-20',12830
'2023-02-21',12848
'2023-02-22',12870
'2023-02-23',12886
'2023-02-24',12905
'2023-02-25',12906
'2023-02-27',12926
'2023-02-28',12945
'2023-03-01',12962
'2023-03-02',12983
'2023-03-03',13005
'2023-03-04',13007
'2023-03-05',13007
'2023-03-06',13025
'2023-03-07',13053
'2023-03-08',13090
'2023-03-09',13113
'2023-03-10',13122
'2023-03-11',13125
'2023-03-12',13131
'2023-03-13',13151
'2023-03-14',13167
'2023-03-15',13210
'2023-03-16',13228
'2023-03-17',13249
'2023-03-18',13253
'2023-03-19',13255
'2023-03-20',13272
'2023-03-21',13293
'2023-03-22',13320
'2023-03-23',13330
'2023-03-24',13342
'2023-03-25',13344
'2023-03-26',13352
'2023-03-27',13414
'2023-03-28',13483
'2023-03-29',13543
'2023-03-30',13558
'2023-03-31',13574
'2023-04-01',13582
'2023-04-02',13584
'2023-04-03',13595
'2023-04-04',13602
'2023-04-05',13613
'2023-04-06',13618
'2023-04-07',13620
'2023-04-08',13621
'2023-04-09',13622
'2023-04-10',13622
'2023-04-11',13629
'2023-04-12',13633
'2023-04-13',13641
'2023-04-14',13653
'2023-04-15',13653
'2023-04-16',13654
'2023-04-17',13664
'2023-04-18',13670
'2023-04-19',13679
